,Name,Thickness,Volumen
0,Thickness-79.vtk,79,1259177.2
1,Thickness-36.vtk,36,321123.03
2,Thickness-31.vtk,31,255168.52
3,Thickness-57.vtk,57,689185.56
4,Thickness-61.vtk,61,777730.0
5,Thickness-65.vtk,65,872717.4
6,Thickness-43.vtk,43,426777.97
7,Thickness-48.vtk,48,512357.12
8,Thickness-49.vtk,49,530529.44
9,Thickness-39.vtk,39,364444.47
10,Thickness-42.vtk,42,410693.78
11,Thickness-55.vtk,55,647259.6
12,Thickness-38.vtk,38,349683.75
13,Thickness-53.vtk,53,606860.2
14,Thickness-80.vtk,80,1290162.2
15,Thickness-76.vtk,76,1169001.5
16,Thickness-70.vtk,70,1000858.0
17,Thickness-81.vtk,81,1321617.2
18,Thickness-63.vtk,63,824403.4
19,Thickness-67.vtk,67,922698.75
20,Thickness-73.vtk,73,1082927.2
21,Thickness-69.vtk,69,974375.5
22,Thickness-75.vtk,75,1139859.6
23,Thickness-46.vtk,46,477078.94
24,Thickness-58.vtk,58,710729.25
25,Thickness-45.vtk,45,459965.88
26,Thickness-51.vtk,51,567960.25
27,Thickness-78.vtk,78,1228656.6
28,Thickness-66.vtk,66,897497.25
29,Thickness-72.vtk,72,1055130.8
30,Thickness-37.vtk,37,335243.8
31,Thickness-77.vtk,77,1198600.2
32,Thickness-62.vtk,62,800863.56
33,Thickness-47.vtk,47,494540.75
34,Thickness-34.vtk,34,293821.38
35,Thickness-71.vtk,71,1027774.9
36,Thickness-68.vtk,68,948322.75
37,Thickness-50.vtk,50,549062.25
38,Thickness-64.vtk,64,848354.5
39,Thickness-59.vtk,59,732666.3
40,Thickness-32.vtk,32,267750.7
41,Thickness-40.vtk,40,379530.56
42,Thickness-52.vtk,52,587224.6
43,Thickness-60.vtk,60,754997.94
44,Thickness-54.vtk,54,626871.4
45,Thickness-41.vtk,41,394946.44
46,Thickness-82.vtk,82,1353546.9
47,Thickness-35.vtk,35,307317.12
48,Thickness-30.vtk,30,242883.5
49,Thickness-33.vtk,33,280634.4
50,Thickness-56.vtk,56,668030.7
51,Thickness-44.vtk,44,443200.5
52,Thickness-74.vtk,74,1111169.9
