,Name,Thickness,Volumen
0,Thickness-79.vtk,79,1213179.8
1,Thickness-36.vtk,36,305803.0
2,Thickness-31.vtk,31,242575.52
3,Thickness-57.vtk,57,660501.2
4,Thickness-61.vtk,61,746148.75
5,Thickness-65.vtk,65,838129.75
6,Thickness-43.vtk,43,407345.12
7,Thickness-48.vtk,48,489777.2
8,Thickness-49.vtk,49,507300.2
9,Thickness-39.vtk,39,347404.25
10,Thickness-42.vtk,42,391870.3
11,Thickness-55.vtk,55,619980.94
12,Thickness-38.vtk,38,333222.9
13,Thickness-53.vtk,53,580959.25
14,Thickness-80.vtk,80,1243299.0
15,Thickness-76.vtk,76,1125565.6
16,Thickness-70.vtk,70,962353.44
17,Thickness-81.vtk,81,1273879.5
18,Thickness-63.vtk,63,791333.6
19,Thickness-67.vtk,67,886565.3
20,Thickness-73.vtk,73,1041988.44
21,Thickness-69.vtk,69,936667.1
22,Thickness-75.vtk,75,1097263.2
23,Thickness-46.vtk,46,455779.72
24,Thickness-58.vtk,58,681331.5
25,Thickness-45.vtk,45,439296.28
26,Thickness-51.vtk,51,543408.06
27,Thickness-78.vtk,78,1183521.1
28,Thickness-66.vtk,66,862140.06
29,Thickness-72.vtk,72,1015010.6
30,Thickness-37.vtk,37,319357.34
31,Thickness-77.vtk,77,1154318.2
32,Thickness-62.vtk,62,768542.2
33,Thickness-47.vtk,47,472605.25
34,Thickness-34.vtk,34,279613.2
35,Thickness-71.vtk,71,988465.6
36,Thickness-68.vtk,68,911406.0
37,Thickness-50.vtk,50,525175.6
38,Thickness-64.vtk,64,814527.9
39,Thickness-59.vtk,59,702548.1
40,Thickness-32.vtk,32,254626.25
41,Thickness-40.vtk,40,361902.94
42,Thickness-52.vtk,52,562002.1
43,Thickness-60.vtk,60,724152.3
44,Thickness-54.vtk,54,600285.1
45,Thickness-41.vtk,41,376724.44
46,Thickness-35.vtk,35,292555.56
47,Thickness-30.vtk,30,230814.06
48,Thickness-33.vtk,33,266971.53
49,Thickness-56.vtk,56,640051.4
50,Thickness-44.vtk,44,423153.16
51,Thickness-74.vtk,74,1069404.2
