,Name,Points,Cells
0,BCT_16006_031_Segmented.vtk,8227,43387
1,BCT_16006_097_Segmented.vtk,4406,21993
2,BCT_16006_100_Segmented.vtk,752,3091
3,BCT_16006_061_Segmented.vtk,4675,23811
4,BCT_16006_027_Segmented.vtk,8641,46177
5,BCT_16006_106_Segmented.vtk,6833,35769
6,BCT_16006_117_Segmented.vtk,4790,24423
7,BCT_16006_059_Segmented.vtk,10292,54681
8,BCT_16006_021_Segmented.vtk,11442,61496
9,BCT_16006_052_Segmented.vtk,12828,69708
10,BCT_16006_030_Segmented.vtk,7276,37695
11,BCT_16006_109_Segmented.vtk,2917,14165
12,BCT_16006_045_Segmented.vtk,10478,56389
13,BCT_16006_090_Segmented.vtk,1886,8729
14,BCT_16006_118_Segmented.vtk,4850,24830
15,BCT_16006_101_Segmented.vtk,8844,46904
16,BCT_16006_051_Segmented.vtk,5305,27241
17,BCT_16006_009_Segmented.vtk,2161,10237
18,BCT_16006_048_Segmented.vtk,5142,26516
19,BCT_16006_082_Segmented.vtk,4528,22820
20,BCT_16006_003_Segmented.vtk,5639,29249
21,BCT_16006_016_Segmented.vtk,5558,28849
22,BCT_16006_060_Segmented.vtk,7753,41011
23,BCT_16006_008_Segmented.vtk,4461,22459
24,BCT_16006_023_Segmented.vtk,5841,29873
25,BCT_16006_095_Segmented.vtk,1736,7980
26,BCT_16006_007_Segmented.vtk,7648,40355
27,BCT_16006_041_Segmented.vtk,7009,36248
28,BCT_16006_121_Segmented.vtk,3345,16333
29,BCT_16006_081_Segmented.vtk,8760,46294
30,BCT_16006_074_Segmented.vtk,1976,9342
31,BCT_16006_050_Segmented.vtk,3409,16989
32,BCT_16006_032_Segmented.vtk,6905,35992
33,BCT_16006_108_Segmented.vtk,8365,43719
34,BCT_16006_022_Segmented.vtk,8549,45156
35,BCT_16006_029_Segmented.vtk,2612,12066
36,BCT_16006_099_Segmented.vtk,10382,55310
37,BCT_16006_114_Segmented.vtk,2482,12122
38,BCT_16006_046_Segmented.vtk,8358,44039
39,BCT_16006_086_Segmented.vtk,5478,28031
40,BCT_16006_066_Segmented.vtk,3916,19231
41,BCT_16006_073_Segmented.vtk,5380,27607
42,BCT_16006_113_Segmented.vtk,2158,10288
43,BCT_16006_119_Segmented.vtk,8936,47191
44,BCT_16006_035_Segmented.vtk,3351,16789
45,BCT_16006_015_Segmented.vtk,9892,52311
46,BCT_16006_038_Segmented.vtk,12770,69267
47,BCT_16006_104_Segmented.vtk,6122,31961
48,BCT_16006_071_Segmented.vtk,7053,37036
49,BCT_16006_013_Segmented.vtk,9671,51734
50,BCT_16006_044_Segmented.vtk,4854,24707
51,BCT_16006_049_Segmented.vtk,5966,31121
52,BCT_16006_018_Segmented.vtk,5386,27534
53,BCT_16006_002_Segmented.vtk,15438,83058
54,BCT_16006_058_Segmented.vtk,1824,8326
55,BCT_16006_115_Segmented.vtk,4929,25264
56,BCT_16006_043_Segmented.vtk,9404,49739
57,BCT_16006_004_Segmented.vtk,5031,25579
58,BCT_16006_069_Segmented.vtk,4315,21829
59,BCT_16006_054_Segmented.vtk,7450,39468
60,BCT_16006_124_Segmented.vtk,3337,16711
61,BCT_16006_091_Segmented.vtk,3157,15211
62,BCT_16006_102_Segmented.vtk,5285,27216
63,BCT_16006_010_Segmented.vtk,7292,38343
64,BCT_16006_116_Segmented.vtk,5962,30919
65,BCT_16006_068_Segmented.vtk,8210,42877
66,BCT_16006_033_Segmented.vtk,4544,23367
67,BCT_16006_019_Segmented.vtk,6015,31047
68,BCT_16006_098_Segmented.vtk,6433,33253
69,BCT_16006_042_Segmented.vtk,19074,105268
70,BCT_16006_064_Segmented.vtk,2486,12257
71,BCT_16006_057_Segmented.vtk,7040,36252
72,BCT_16006_083_Segmented.vtk,6746,34631
73,BCT_16006_025_Segmented.vtk,9960,53156
74,BCT_16006_067_Segmented.vtk,7804,40842
75,BCT_16006_056_Segmented.vtk,5756,29964
76,BCT_16006_110_Segmented.vtk,5481,28354
77,BCT_16006_076_Segmented.vtk,4840,24855
78,BCT_16006_017_Segmented.vtk,3053,14911
79,BCT_16006_037_Segmented.vtk,9614,51550
80,BCT_16006_112_Segmented.vtk,10557,56870
81,BCT_16006_107_Segmented.vtk,8074,42554
82,BCT_16006_005_Segmented.vtk,9901,53006
83,BCT_16006_062_Segmented.vtk,6828,35826
84,BCT_16006_075_Segmented.vtk,10767,57792
85,BCT_16006_053_Segmented.vtk,6312,32923
86,BCT_16006_055_Segmented.vtk,7052,37045
87,BCT_16006_024_Segmented.vtk,4399,22417
88,BCT_16006_047_Segmented.vtk,5080,26273
89,BCT_16006_096_Segmented.vtk,4252,21627
90,BCT_16006_034_Segmented.vtk,4592,22832
