,Name,Points,Cells
0,BCT_16006_031_Segmented.vtk,61001,346067
1,BCT_16006_097_Segmented.vtk,32119,176850
2,BCT_16006_100_Segmented.vtk,5026,24554
3,BCT_16006_061_Segmented.vtk,34463,191252
4,BCT_16006_027_Segmented.vtk,64532,367982
5,BCT_16006_106_Segmented.vtk,50494,284695
6,BCT_16006_117_Segmented.vtk,35084,195051
7,BCT_16006_059_Segmented.vtk,76674,436185
8,BCT_16006_021_Segmented.vtk,86103,494371
9,BCT_16006_052_Segmented.vtk,96348,556076
10,BCT_16006_030_Segmented.vtk,53992,303480
11,BCT_16006_109_Segmented.vtk,20752,112311
12,BCT_16006_045_Segmented.vtk,78516,450303
13,BCT_16006_090_Segmented.vtk,13211,69732
14,BCT_16006_118_Segmented.vtk,35662,198780
15,BCT_16006_101_Segmented.vtk,65539,372711
16,BCT_16006_051_Segmented.vtk,38745,216755
17,BCT_16006_009_Segmented.vtk,15504,82651
18,BCT_16006_048_Segmented.vtk,37617,210625
19,BCT_16006_082_Segmented.vtk,33170,183371
20,BCT_16006_003_Segmented.vtk,41546,233509
21,BCT_16006_016_Segmented.vtk,41059,230152
22,BCT_16006_060_Segmented.vtk,57347,326361
23,BCT_16006_008_Segmented.vtk,32565,180012
24,BCT_16006_023_Segmented.vtk,42755,238547
25,BCT_16006_095_Segmented.vtk,12186,63892
26,BCT_16006_007_Segmented.vtk,56749,322186
27,BCT_16006_041_Segmented.vtk,51683,289867
28,BCT_16006_121_Segmented.vtk,23956,130566
29,BCT_16006_081_Segmented.vtk,64961,369387
30,BCT_16006_074_Segmented.vtk,14064,75144
31,BCT_16006_050_Segmented.vtk,24812,136371
32,BCT_16006_032_Segmented.vtk,51030,287561
33,BCT_16006_108_Segmented.vtk,62127,351386
34,BCT_16006_022_Segmented.vtk,63178,358950
35,BCT_16006_029_Segmented.vtk,18445,97127
36,BCT_16006_099_Segmented.vtk,77222,441527
37,BCT_16006_114_Segmented.vtk,17666,96027
38,BCT_16006_046_Segmented.vtk,61659,349218
39,BCT_16006_086_Segmented.vtk,39952,223307
40,BCT_16006_066_Segmented.vtk,28244,153697
41,BCT_16006_073_Segmented.vtk,39692,221908
42,BCT_16006_113_Segmented.vtk,15361,82800
43,BCT_16006_119_Segmented.vtk,66812,379122
44,BCT_16006_035_Segmented.vtk,24170,133518
45,BCT_16006_015_Segmented.vtk,73885,419687
46,BCT_16006_038_Segmented.vtk,96095,554067
47,BCT_16006_104_Segmented.vtk,45081,254462
48,BCT_16006_071_Segmented.vtk,52557,296776
49,BCT_16006_013_Segmented.vtk,72628,415448
50,BCT_16006_044_Segmented.vtk,35463,197419
51,BCT_16006_049_Segmented.vtk,44166,248813
52,BCT_16006_018_Segmented.vtk,39423,220254
53,BCT_16006_002_Segmented.vtk,49947,280469
54,BCT_16006_058_Segmented.vtk,12815,66969
55,BCT_16006_115_Segmented.vtk,35879,200587
56,BCT_16006_043_Segmented.vtk,70227,399115
57,BCT_16006_004_Segmented.vtk,36717,204359
58,BCT_16006_069_Segmented.vtk,31471,174815
59,BCT_16006_054_Segmented.vtk,55462,315387
60,BCT_16006_124_Segmented.vtk,24365,134360
61,BCT_16006_091_Segmented.vtk,22831,123379
62,BCT_16006_102_Segmented.vtk,38619,216016
63,BCT_16006_010_Segmented.vtk,54004,306115
64,BCT_16006_116_Segmented.vtk,44239,248579
65,BCT_16006_068_Segmented.vtk,60845,343377
66,BCT_16006_033_Segmented.vtk,33329,186402
67,BCT_16006_019_Segmented.vtk,44120,248110
68,BCT_16006_098_Segmented.vtk,47253,265499
69,BCT_16006_042_Segmented.vtk,144365,839792
70,BCT_16006_064_Segmented.vtk,18048,98788
71,BCT_16006_057_Segmented.vtk,51860,289701
72,BCT_16006_083_Segmented.vtk,49663,278248
73,BCT_16006_025_Segmented.vtk,74248,423844
74,BCT_16006_067_Segmented.vtk,57947,327357
75,BCT_16006_056_Segmented.vtk,42757,241104
76,BCT_16006_110_Segmented.vtk,40489,227012
77,BCT_16006_076_Segmented.vtk,35356,197762
78,BCT_16006_017_Segmented.vtk,21753,118377
79,BCT_16006_037_Segmented.vtk,71916,411615
80,BCT_16006_112_Segmented.vtk,79429,456512
81,BCT_16006_107_Segmented.vtk,59941,339293
82,BCT_16006_005_Segmented.vtk,74002,422387
83,BCT_16006_062_Segmented.vtk,50607,286350
84,BCT_16006_075_Segmented.vtk,80314,460116
85,BCT_16006_053_Segmented.vtk,46682,263385
86,BCT_16006_055_Segmented.vtk,52462,297043
87,BCT_16006_024_Segmented.vtk,32234,179366
88,BCT_16006_047_Segmented.vtk,37449,210467
89,BCT_16006_096_Segmented.vtk,30964,172472
90,BCT_16006_034_Segmented.vtk,33050,181896
